Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Christos Papadopoulos,Colorado State University,Queens College - New York,Washington University - St. Louis - USA,Washington University - St. Louis - USA,,2006,Full,Security & Privacy,Male,http://www.cs.colostate.edu/~christos/christos-small.jpg,http://www.cs.colostate.edu/~christos/papadopoulos-cv.pdf,2,2016-07-24
Sanjay Rajopadhye,Colorado State University,Indian Institute of Technology - Kharagpur - India,,University of Utah - USA,,2001,Full,Distributed & Parallel Computing,Male,http://www.cs.colostate.edu/~svr/pics/Sanjay3.jpg,http://www.cs.colostate.edu/~svr/,2,2016-07-24
Indrajit Ray,Colorado State University,Bengal Engineering and Science University - Howrah - India,Jadavpur University - India,George Mason University - USA,,2001,Full,Databases,Male,http://www.cs.colostate.edu/~indrajit/images/Indrajit1.jpg,http://www.cs.colostate.edu/~indrajit/,2,2016-07-24
Indrakshi Ray,Colorado State University,Bengal Engineering and Science University - Howrah - India,Jadavpur University - India,George Mason University - USA,,2001,Full,Databases,Female,http://www.cs.colostate.edu/~iray/pics/ikRay14.jpg,http://www.cs.colostate.edu/~iray/CV/cv.pdf,2,2016-07-24
Jaime Ruiz,Colorado State University,University of California - Davis - USA,San Francisco State University,University of Waterloo - Canada,,,Assistant,Human-Computer Interaction,Male,https://www.jaimeruiz.com/assets/img/jgruiz_02.jpg,https://www.jaimeruiz.com/,2,2016-07-24
Michelle Mills Strout,Colorado State University,University of California - San Diego - USA,University of California - San Diego - USA,University of California - San Diego - USA,,2005,Associate,Distributed & Parallel Computing,Female,http://www.cs.colostate.edu/~mstrout/PhotoJan2010.png,http://www.cs.colostate.edu/~mstrout/mstroutCVJan2015.pdf,2,2016-07-24
L. Darrell Whitley,Colorado State University,Western Kentucky University,Southern Illinois University - USA,Southern Illinois University - USA,,1986,Full,Artificial Intelligence,Male,http://www.cs.colostate.edu/~whitley/pics/DarrellWhitley.jpg,http://www.cs.colostate.edu/~whitley/CV/WhitleyVita12.pdf,2,2016-07-24
John A. Board Jr.,,,,,,,,,,,,,Not Applied
Robert Bryant,Duke University,North Carolina State University - USA,,University of North Carolina - Chapel Hill - USA,,1987,Full,Computer Education,Male,http://www.cs.duke.edu/people/faculty/?csid=4408,http://fds.duke.edu/db/aas/math/faculty/bryant/,2,2016-07-24
Jeffrey Chase,Duke University,Dartmouth College - USA,University of Washington - USA,University of Washington - USA,,1995,Full,Hardware & Architecture,Male,http://www.cs.duke.edu/people/faculty/?csid=15,http://www.cs.duke.edu/people/faculty/?csid=15,2,2016-07-24
Bruce Donald,Duke University,Yale University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2006,Full,Artificial Intelligence,Male,http://www.cs.duke.edu/people/faculty/?csid=1611,http://www.cs.duke.edu/people/faculty/?csid=1611,2,2016-07-24
Robert Duvall,Duke University,Brown University - USA,Brown University - USA,,,2012,Full,Computer Education,Male,http://www.cs.duke.edu/people/faculty/?csid=67,http://www.cs.duke.edu/people/faculty/?csid=67,2,2016-07-24
George Konidaris,Duke University,University of the Witwatersrand - South Africa,University of Edinburgh - United Kingdom,University of Massachusetts - Amherst - USA,,2014,Assistant,Artificial Intelligence,Male,http://www.cs.duke.edu/people/faculty/?csid=4630,http://www.cs.duke.edu/~gdk/cv.pdf,7254,2017-04-20
Guillermo Sapira,Duke University,,,Technion-Israel Institute of Technology - Israel,,,Full,Software Engineering,Male,http://www.cs.duke.edu/people/faculty/?csid=3922,http://www.cs.duke.edu/people/faculty/?csid=3922,2,2016-07-24
Dimitri A. Antoniadis,Massachusetts Institute of Technology,National University of Athens,,Stanford University - USA,,1978,Full,physics and technology of extreme-submicron,Male,http://www-mtl.mit.edu/wpmu/daa/files/2011/12/2012_1_DAAPhoto.jpg,http://www-mtl.mit.edu/wpmu/daa/,2,2016-07-24
Robert C. Berwick,Massachusetts Institute of Technology,Harvard University - USA,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,1976,Full,Bioinformatics & Computational Biology,Male,https://lids.mit.edu/sites/default/files/people/robert_berwick2.jpg,https://lids.mit.edu/people/facultypi/robert-berwick,2,2016-07-24
Duane S. Boning,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,1984,Full,Machine Learning & Pattern Recognition,Male,https://www-mtl.mit.edu/wpmu/researchgroupsboning/files/2009/06/boning-june2007.jpg,http://www-mtl.mit.edu/wpmu/researchgroupsboning/boning/,2,2016-07-24
Louis D. Braida,Massachusetts Institute of Technology,The cooper Union,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,1965,Full,Networks & Communications,Male,http://rledevs4.mit.edu/personnel/Pages/Public/PersonalPhoto.aspx?PersonId=176853&Small=True&Version=20141002140122283,http://www.rle.mit.edu/people/directory/louis-braida/,2,2016-07-24
Tamara Broderick,Massachusetts Institute of Technology,Princeton University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2006,Assistant,Machine Learning & Pattern Recognition,Female,http://people.csail.mit.edu/tbroderick/img/head_pic.jpg,http://people.csail.mit.edu/tbroderick/short_bio.txt,2,2016-07-24
Adam Chlipala,Massachusetts Institute of Technology,Carnegie Mellon University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2012,Assistant,Machine Learning & Pattern Recognition,Male,http://adam.chlipala.net/photos.html,http://adam.chlipala.net/cv.pdf,9205,2018-03-20
F. J. CORBATO,Massachusetts Institute of Technology,California Institute of Technology - USA,,Massachusetts Institute of Technology,,1962,Full,Electrical Engineering and Computer Science,Male,http://www.csail.mit.edu/images/directory/corbato.jpg,http://larch-www.lcs.mit.edu:8001/~corbato/,2,2016-07-24
DAVE GIFFORD,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Stanford University - USA,Stanford University - USA,,1995,Full,Professor of Computer Science and Engineering,Male,http://www.psrg.lcs.mit.edu/~gifford/,http://cgs.csail.mit.edu/people/cv.html,2,2016-07-24
Polina Golland,Massachusetts Institute of Technology,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology,,2003,Associate,Algorithms & Theory,Female,http://www.psrg.lcs.mit.edu/~gifford/,http://www.csail.mit.edu/user/791,9205,2018-03-20
Sam Madden,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,University of California - Berkeley - USA,,2004,Full,Systems & Networking,Male,http://www.csail.mit.edu/user/877,http://db.lcs.mit.edu/madden/,2,2016-07-24
Aleksander Madry,Massachusetts Institute of Technology,,,Massachusetts Institute of Technology,,2011,Full,Assistant Professor of Computer Science,Male,http://people.csail.mit.edu/madry/,http://people.csail.mit.edu/madry/,4563,2016-10-20
Gongbing Hong,William & Mary,,Mississippi State University,Clemson University - USA,,,Lecturer,,Male,http://www.wm.edu/as/computerscience/faculty/hong_gongbing.php,http://www.cs.wm.edu/~ghong,2,2015-10-09
Phil Kearns,William & Mary,,,Univeristy of Virginia,,,Associate,Computer Systems,Male,http://www.wm.edu/as/computerscience/faculty/kearns_phil.php,http://www.cs.wm.edu/~kearns/,8361,2017-10-05
Peter Kemper,William & Mary,,,TU Dortmund University,,,Associate,Modeling Techniques and Tools for Simulation and Optimization of Discrete Event Systems Stochastic Models for Performance and Dependability Analysis Human-Computer Interfaces Software Development Data Analysis,Male,http://www.wm.edu/as/computerscience/faculty/kemper_p.php,http://www.cs.wm.edu/~kemper,6815,2017-03-27
Robert Michael Lewis,William & Mary,,,Rice University - USA,,,Chair and Associate,nonlinear optimization particularly direct search methods optimization for engineering and scientific applications p.d.e. constrained optimization protein structure determination and graph embedding,Male,http://www.wm.edu/as/computerscience/faculty/lewis_rm.php,http://rmlewi.people.wm.edu/,6815,2017-03-27
Qun Li,William & Mary,,,Dartmouth College - USA,,,Associate,wireless mobile and embedded systems including pervasive computing smart phones energy efficiency smart grid smart health cognitive radio wireless LANs mobile ad-hoc networks sensor networks and RFID systems. It involves building and simulating prototype systems and conducting real experiments and measurements,Male,http://www.wm.edu/as/computerscience/faculty/li_q.php,http://www.cs.wm.edu/~liqun/,6815,2017-03-27
Xu Liu,William & Mary,,,Rice University - USA,,2014,Assistant,parallel computing compiler techniques and systems,Male,http://www.wm.edu/as/computerscience/faculty/liu_x.php,http://www.cs.wm.edu/~xl10,6815,2017-03-27
Weizhen Mao,William & Mary,,,Princeton University - USA,,,Full,Combinatorial optimization; analysis of algorithms; operations research,Female,http://www.wm.edu/as/computerscience/faculty/mao_w.php,http://www.cs.wm.edu/~wm/,2,2016-07-24
Eric Meier,William & Mary,,,University of Washington - USA,,,Research Scientist,Computational plasma physics,Male,http://www.wm.edu/as/computerscience/faculty/meier_e.php,,2,2015-10-09
Saskia Mordijck,William & Mary,,,University of California San Diego,,,Research Assistant Professor,Plasma Physics,Female,http://www.wm.edu/as/computerscience/faculty/mordijck_s.php,http://www.cs.wm.edu/~mordijck/,2,2015-10-09
Deborah Noonan,William & Mary,,The College of William & Mary,,,,Senior lecturer,Computer Education,Female,http://www.wm.edu/as/computerscience/faculty/noonan_d.php,http://www.cs.wm.edu/~debbie/,2,2015-10-09
Pieter Peers,William & Mary,,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,,2010,Assistant,Graphics,Male,http://www.wm.edu/as/computerscience/faculty/peers_p.php,http://www.cs.wm.edu/~ppeers,2,2016-07-24
Denys Poshyvanyk,William & Mary,The National University at Khakov,Wayne State University - USA,Wayne State University - USA,,2008,Associate,Software engineering software maintenance and evolution program comprehension reverse engineering software repository mining source code analysis and metrics,Male,http://www.wm.edu/as/computerscience/faculty/poshyvanyk_d.php,http://www.cs.wm.edu/~denys/,2,2016-07-24
Evgenia Smirni,William & Mary,University of Patras,Vanderbilt University - USA,Vanderbilt University - USA,,1997,Full,Performance evaluation; analytic modeling; resource allocation policies; input/output; web servers; Markov chains,Female,http://www.wm.edu/as/computerscience/faculty/smirni_e.php,http://www.cs.wm.edu/~esmirni/,2,2016-07-24
Andreas Stathopoulos,William & Mary,University of Athens - Greece,Vanderbilt University - USA,Vanderbilt University - USA,,1997,Full,Scientific and high performance computing,Male,http://www.wm.edu/as/computerscience/faculty/stathopoulos_a.php,http://www.cs.wm.edu/~andreas/,2,2016-07-24
Kun Sun,William & Mary,,,North Carolina State University - USA,,,Assistant,Computer security,Male,http://www.wm.edu/as/computerscience/faculty/sun_k.php,http://www.cs.wm.edu/~ksun,2,2016-07-24
Virginia Torczon,William & Mary,Wesleyan University - USA,Rice University - USA,Rice University - USA,,,Full,Algorithm design and analysis; parallel and distributed computing; nonlinear programming; computational science,Female,http://www.wm.edu/as/computerscience/faculty/torczon_v.php,http://www.cs.wm.edu/~va/,156,2016-07-24
Haining Wang,University of Delaware,,,University of Michigan - USA,,,Adjunct Associate,Networking systems; networking security; QoS; and real-time systems,Male,http://www.wm.edu/as/computerscience/faculty/wang_h.php,http://www.cs.wm.edu/~hnw/,2,2015-10-09
Gang Zhou,William & Mary,,,University of Virginia - USA,,,Associate,Wireless sensor networks embedded and real-time systems data storage and distribution wireless networking and distributed computing.,Male,http://www.wm.edu/as/computerscience/faculty/zhou_g.php,http://www.cs.wm.edu/~gzhou/,6815,2017-03-27
Alessandro Acquisti,Carnegie Mellon University,University of Rome - La Sapienza - Italy,University of California - Berkeley - USA,University of California - Berkeley - USA,,2003,Full,Security & Privacy,Male,http://www.heinz.cmu.edu/~acquisti/pics/090409_0037_sm.jpg,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=3,2,2016-07-24
Alexander Hauptmann,Carnegie Mellon University,Johns Hopkins University - USA,Johns Hopkins University - USA,Carnegie Mellon University - USA,,1998,Full,Computer Education,Male,http://www.csd.cs.cmu.edu/people/48x64/Hauptmann_Alexander.jpg,http://vipl.ict.ac.cn/News/dr-alex-hauptmann-visited-our-group,7091,2017-04-09
Alexander Rudnicky,Carnegie Mellon University,McGill University - Canada,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,1981,Full,Algorithms & Theory,Male,http://www.cs.cmu.edu/~air/IMG_6400.JPG,||,7014,2017-04-04
Alfred Blumstein,Carnegie Mellon University,Cornell University - USA,Adelaide University - Australia,Cornell University - USA,,1969,Full,Operating Systems,Male,http://www.heinz.cmu.edu/faculty/9photo.jpg,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=9,2,2016-07-24
Ananda Gunawardena,Carnegie Mellon University,Ananda College Colombo,University of Colombo,University of Colombo,,1998,Associate,Scientific Computing,Male,http://www.cs.cmu.edu/~guna/guna-2011.jpg,http://www.cs.cmu.edu/~guna/,2,2016-07-24
Beibei Li,Carnegie Mellon University,Donghua University - Shanghai,University of Kentucky - USA,New York University - USA,,2012,Assistant,Information Retrieval,Female,http://www.heinz.cmu.edu/faculty/476photo.jpg,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=476,2,2016-07-24
Bradley Schmerl,Carnegie Mellon University,,,Flinders University,,2000,Full,Software Engineering,Male,http://www.cs.cmu.edu/~schmerl/images/schmerl-mugshot.jpg,https://www.linkedin.com/pub/bradley-schmerl/10/934/a43,4596,2016-10-21
Daniel B. Neill,Carnegie Mellon University,Duke University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,Associate,,Male,http://www.cs.cmu.edu/~./neill/Neill.jpg,http://www.cs.cmu.edu/~./neill/,7014,2017-04-04
David Eckhardt,Carnegie Mellon University,Pennsylvania State University - USA,,Carnegie Mellon University - USA,,,Associate,Operating Systems,Male,http://www.cs.cmu.edu/~davide/2009-09-01.4_sub_square_100.png,http://www.cs.cmu.edu/~davide/talks/2007-06-13_curric.pdf,7014,2017-04-04
David Kosbie,Carnegie Mellon University,,,,,,Assistant,,Male,,,7014,2017-04-04
David Touretzky,Carnegie Mellon University,Rutgers University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,Full,,Male,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/David_S._Touretzky.jpg/150px-David_S._Touretzky.jpg,http://en.wikipedia.org/wiki/David_S._Touretzky,7014,2017-04-04
Emil P. Bolongatia,Carnegie Mellon University,,University of Notre Dame - USA,University of Notre Dame - USA,,2013,Full,,Male,http://www.australia.cmu.edu/sites/default/files/node-files/news-article/emil-3.jpg,http://www.australia.cmu.edu/emilbolongaita,2,2016-07-24
Eugene Fink,Carnegie Mellon University,Mount Allison University,University of Waterloo - Canada,Carnegie Mellon University - USA,,,Full,,Male,http://www.csd.cs.cmu.edu/people/48x64/Fink_Eugene.jpg,http://www.cs.cmu.edu/~eugene/cv/bio.html,6698,2017-02-23
Gregory Kesden,Carnegie Mellon University,,,,,,Associate,,Male,http://www.cs.cmu.edu/~gkesden/,http://www.cs.cmu.edu/~gkesden/,7014,2017-04-04
Howard Wactlar,Carnegie Mellon University,,,,,,Full,,Male,http://www.cs.cmu.edu/~hdw/HDWPic.gif,http://www.cs.cmu.edu/~hdw/,7014,2017-04-04
